rollout/ep_len_mean,rollout/exploration_rate,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/time_elapsed,train/n_updates,train/loss,train/learning_rate
22.7,0.9727600000000001,921,22.7,227,10,0,,,
23.65,0.9432399999999999,1683,23.65,473,20,0,,,
22.133333333333333,0.9203200000000002,2177,22.133333333333333,664,30,0,,,
22.725,0.8909200000000002,2754,22.725,909,40,0,,,
21.3,0.8722000000000001,591,21.3,1065,50,1,128,0.12682328794289788,0.0023
20.3,0.8538399999999997,665,20.3,1218,60,1,,,
19.571428571428573,0.8356000000000001,590,19.571428571428573,1370,70,2,256,0.06770021603733767,0.0023
19.3,0.8147199999999999,571,19.3,1544,80,2,384,0.11082003499723214,0.0023
18.755555555555556,0.7974399999999999,618,18.755555555555556,1688,90,2,,,
18.52,0.7777600000000002,590,18.52,1852,100,3,512,0.15987694103387184,0.0023
17.94,0.7574799999999999,637,17.94,2021,110,3,,,
17.4,0.7344400000000002,618,17.4,2213,120,3,640,0.21006897321422002,0.0023
17.31,0.7125999999999997,586,17.31,2395,130,4,768,0.25059657706151484,0.0023
16.47,0.6932799999999997,620,16.47,2556,140,4,,,
16.92,0.6691600000000002,616,16.92,2757,150,4,896,0.3012806634651497,0.0023
17.45,0.6444400000000001,610,17.45,2963,160,4,1024,0.3377145120903151,0.0023
17.6,0.6244000000000001,600,17.6,3130,170,5,1152,0.394868635587045,0.0023
18.59,0.5916399999999999,605,18.59,3403,180,5,1280,0.40648033736943034,0.0023
19.85,0.5592400000000002,611,19.85,3673,190,6,1408,0.43965710925112944,0.0023
20.96,0.5262399999999998,619,20.96,3948,200,6,1536,0.4791053715744056,0.0023
23.26,0.4783599999999999,638,23.26,4347,210,6,1664,0.5102988413709681,0.0023
31.73,0.3536799999999998,622,31.73,5386,220,8,2304,0.5579657666385174,0.0023
45.26,0.16948000000000019,610,45.26,6921,230,11,3072,0.6363559383753454,0.0023
71.09,0.04,627,71.09,9665,240,15,4352,0.7347884871705901,0.0023
98.41,0.04,603,98.41,12598,250,20,5888,0.872612128208857,0.0023
124.73,0.04,573,124.73,15436,260,26,7296,1.0271638012491167,0.0023
144.35,0.04,549,144.35,17565,270,31,8320,1.0854887860477902,0.0023
152.21,0.04,537,152.21,18624,280,34,8832,1.0510969894676236,0.0023
158.31,0.04,511,158.31,19504,290,38,9344,1.3040143636608263,0.0023
159.45,0.04,512,159.45,19893,300,38,9472,1.1953338482708205,0.0023
157.51,0.04,511,157.51,20098,310,39,9600,1.3891897686844459,0.0023
149.03,0.04,507,149.03,20289,320,39,9728,1.3928187863202766,0.0023
136.49,0.04,506,136.49,20570,330,40,9856,1.1321570909931324,0.0023
112.49,0.04,505,112.49,20914,340,41,9984,1.4615892932924908,0.0023
89.06,0.04,506,89.06,21504,350,42,10240,1.4978996405843645,0.0023
66.56,0.04,499,66.56,22092,360,44,10624,1.4315798980387626,0.0023
46.67,0.04,501,46.67,22232,370,44,,,
37.69,0.04,499,37.69,22393,380,44,10752,1.4415827027405612,0.0023
30.65,0.04,498,30.65,22569,390,45,10880,1.6691039056167938,0.0023
28.04,0.04,500,28.04,22697,400,45,,,
27.29,0.04,498,27.29,22827,410,45,11008,1.6301252403500257,0.0023
26.61,0.04,500,26.61,22950,420,45,,,
25.05,0.04,497,25.05,23075,430,46,11136,1.7722275458072545,0.0023
23.01,0.04,500,23.01,23215,440,46,,,
18.4,0.04,498,18.4,23344,450,46,11264,2.2064122448355192,0.0023
13.76,0.04,500,13.76,23468,460,46,,,
13.59,0.04,498,13.59,23591,470,47,11392,2.0603026845201384,0.0023
13.27,0.04,500,13.27,23720,480,47,,,
12.84,0.04,499,12.84,23853,490,47,11520,2.0279022026224993,0.0023
12.86,0.04,501,12.86,23983,500,47,,,
12.88,0.04,500,12.88,24115,510,48,11648,2.2676261638262076,0.0023
12.96,0.04,502,12.96,24246,520,48,,,
12.98,0.04,501,12.98,24373,530,48,11776,2.5582693967735395,0.0023
13.12,0.04,504,13.12,24527,540,48,,,
13.84,0.04,503,13.84,24728,550,49,11904,2.410448396753054,0.0023
15.9,0.04,505,15.9,25058,560,49,12032,2.4925168838817626,0.0023
17.76,0.04,502,17.76,25367,570,50,12288,2.592507827474037,0.0023
