#{"t_start": 1777239599.6482644, "env_id": "ALE/Freeway-v5"}
r,l,t
0.0,507,2.751219
0.0,512,5.008302
3.0,512,9.478504
6.0,505,13.864816
8.0,509,18.938582
5.0,506,23.919737
8.0,512,29.227871
6.0,512,34.566508
7.0,507,39.52741
7.0,510,44.287575
7.0,505,49.034236
7.0,509,53.889741
7.0,511,58.634741
5.0,510,63.624699
5.0,510,68.601556
5.0,508,73.61555
3.0,506,78.361206
7.0,511,83.259574
9.0,508,88.057436
7.0,508,92.914547
7.0,509,97.761155
6.0,508,102.78839
5.0,507,107.6043
5.0,511,112.482562
5.0,509,117.266437
7.0,510,122.047769
6.0,512,126.905254
6.0,512,131.722631
6.0,509,136.499796
6.0,508,141.291609
7.0,510,146.100743
6.0,506,150.990331
7.0,506,155.95682
5.0,511,160.858764
4.0,507,165.539267
8.0,511,170.471244
4.0,507,175.212604
6.0,505,180.16757
5.0,507,184.84834
6.0,510,191.019803
6.0,507,196.975459
2.0,509,203.176597
4.0,505,209.484367
4.0,510,215.776572
3.0,511,221.935686
2.0,512,227.800179
0.0,506,234.200208
3.0,506,239.902075
1.0,509,244.720834
3.0,511,249.942008
4.0,508,255.419716
0.0,505,260.922019
5.0,508,266.03389
3.0,512,271.69664
4.0,512,277.473423
3.0,505,284.045995
7.0,505,289.78813
7.0,505,295.604825
5.0,509,301.528493
2.0,505,307.459093
5.0,508,312.66189
3.0,510,317.417934
4.0,506,322.227224
6.0,506,327.219604
5.0,510,332.538339
2.0,506,337.798898
8.0,506,342.914587
4.0,505,347.80882
4.0,512,352.802226
3.0,505,357.669492
6.0,506,362.827858
7.0,509,367.912239
6.0,509,372.996678
2.0,511,378.114666
5.0,507,383.084368
8.0,507,388.279064
5.0,512,393.56564
6.0,512,398.713832
6.0,505,403.675915
6.0,506,408.510452
3.0,510,413.319073
5.0,508,418.15093
6.0,506,423.00862
8.0,505,427.954055
11.0,510,433.822979
8.0,512,439.777487
11.0,508,445.47011
6.0,511,451.683829
1.0,509,457.28847
1.0,508,462.973083
5.0,508,468.503644
4.0,507,474.445806
7.0,506,480.049281
8.0,510,485.414316
3.0,509,491.305216
9.0,512,496.971225
11.0,505,503.254023
6.0,508,508.805739
8.0,506,514.442407
10.0,506,520.164844
